Synchronous,Stream,Captured Graph,Explicit Graph
155.4579,2326.3752,31.6103,30.9947
148.6236,2346.0542,37.7104,31.3140
145.3311,2349.4563,31.7179,32.4036
146.7333,2341.9534,31.1345,30.7108
146.8701,2354.4221,30.8212,30.6516
145.1468,2343.6848,30.8306,31.0444
148.5631,2355.2124,31.3369,35.4655
146.2265,2350.6042,31.7739,31.6984
145.2031,2358.3525,31.4310,34.2750
145.3204,2355.8787,31.6424,31.1933
144.9692,2350.4822,31.9877,36.8512
147.9140,2358.1633,30.7193,31.2995
146.4705,2340.8484,31.5762,31.9207
143.7548,2337.0825,31.1507,30.9925
147.6892,2348.8933,33.4107,31.1404
146.2743,2357.2458,32.1528,32.6860
147.8795,2347.2993,32.1681,31.2126
150.5211,2349.4731,31.2255,32.1178
146.0087,2360.4468,31.1407,30.8344
149.3059,2351.5713,31.0134,30.2131